origin,relationship_id,join_method,semantic_group_position,semantic_group_size,relationship_type,input_validation_status,domain,match_classification,match_reason,candidate_count,cube_name,dimension_name,hierarchy_name,attribute_name,subset_name,view_name,target_name,candidate_node_ids
TI,semantic::ti::dimupdate - sys company hierarchy::CREATES_ATTRIBUTE::attribute::sys company hierarchy.hier_hid | ' id',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,HIER_HID | ' ID',,,SYS Company Hierarchy.HIER_HID | ' ID',
TI,semantic::ti::dimupdate - sys company hierarchy::CREATES_ATTRIBUTE::attribute::sys company hierarchy.hier_hid | ' parent',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,HIER_HID | ' Parent',,,SYS Company Hierarchy.HIER_HID | ' Parent',
TI,semantic::ti::dimupdate - sys company hierarchy::CREATES_ATTRIBUTE::attribute::sys company hierarchy.hier_hid | ' sequence number',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,HIER_HID | ' Sequence Number',,,SYS Company Hierarchy.HIER_HID | ' Sequence Number',
TI,"semantic::ti::dimupdate - sys company hierarchy::READS_ATTRIBUTE::attribute::sys company hierarchy.subst ( shier, 1, long(shier)-3) | ' parent'",SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,"SUBST ( sHier, 1, long(sHier)-3) | ' Parent'",,,"SYS Company Hierarchy.SUBST ( sHier, 1, long(sHier)-3) | ' Parent'",
TI,semantic::ti::dimupdate - sys company hierarchy::WRITES_ATTRIBUTE::attribute::sys company hierarchy.hier_hid | ' description',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,HIER_HID | ' Description',,,SYS Company Hierarchy.HIER_HID | ' Description',
TI,semantic::ti::dimupdate - sys company hierarchy::WRITES_ATTRIBUTE::attribute::sys company hierarchy.hier_hid | ' id',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,HIER_HID | ' ID',,,SYS Company Hierarchy.HIER_HID | ' ID',
TI,semantic::ti::dimupdate - sys company hierarchy::WRITES_ATTRIBUTE::attribute::sys company hierarchy.hier_hid | ' parent',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,HIER_HID | ' Parent',,,SYS Company Hierarchy.HIER_HID | ' Parent',
TI,semantic::ti::dimupdate - sys company hierarchy::WRITES_ATTRIBUTE::attribute::sys company hierarchy.hier_hid | ' sequence number',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Company Hierarchy,,HIER_HID | ' Sequence Number',,,SYS Company Hierarchy.HIER_HID | ' Sequence Number',
TI,semantic::ti::dimupdate - sys func area hierarchy::CREATES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' description',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' Description',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' Description',
TI,semantic::ti::dimupdate - sys func area hierarchy::CREATES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' hierarchy level',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' Hierarchy Level',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' Hierarchy Level',
TI,semantic::ti::dimupdate - sys func area hierarchy::CREATES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' id',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' ID',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' ID',
TI,semantic::ti::dimupdate - sys func area hierarchy::CREATES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' parent',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' Parent',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' Parent',
TI,semantic::ti::dimupdate - sys func area hierarchy::CREATES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' sequence number',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' Sequence Number',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' Sequence Number',
TI,semantic::ti::dimupdate - sys func area hierarchy::CREATES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' sort order',SEMANTIC_KEY,1,1,CREATES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' Sort Order',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' Sort Order',
TI,"semantic::ti::dimupdate - sys func area hierarchy::READS_ATTRIBUTE::attribute::sys func area hierarchy.subst ( shier, 1, long(shier)-3) | ' parent'",SEMANTIC_KEY,1,1,READS_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,"SUBST ( sHier, 1, long(sHier)-3) | ' Parent'",,,"SYS Func Area Hierarchy.SUBST ( sHier, 1, long(sHier)-3) | ' Parent'",
TI,semantic::ti::dimupdate - sys func area hierarchy::WRITES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' description',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' Description',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' Description',
TI,semantic::ti::dimupdate - sys func area hierarchy::WRITES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' hierarchy level',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' Hierarchy Level',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' Hierarchy Level',
TI,semantic::ti::dimupdate - sys func area hierarchy::WRITES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' id',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' ID',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' ID',
TI,semantic::ti::dimupdate - sys func area hierarchy::WRITES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' parent',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' Parent',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' Parent',
TI,semantic::ti::dimupdate - sys func area hierarchy::WRITES_ATTRIBUTE::attribute::sys func area hierarchy.functalareahie | ' sequence number',SEMANTIC_KEY,1,1,WRITES_ATTRIBUTE,ATTRIBUTE_CATALOG_DEFERRED,ATTRIBUTE,DYNAMIC_REFERENCE,Expression contains dynamic tokens,0,,SYS Func Area Hierarchy,,FUNCTALAREAHIE | ' Sequence Number',,,SYS Func Area Hierarchy.FUNCTALAREAHIE | ' Sequence Number',
