source_catalog,profile_status,expression_pattern,profile_expression,profile_source,profile_relationship_type,profile_target_type,profile_confidence,target_name,target_expression,reason
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDimension,Sys_Dim_AllConsols_Delete,UPDATES_DIMENSION,dimension,UNRESOLVED,pDimension,pDimension,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pTargetDim,Sys_Dim_Clone,UPDATES_DIMENSION,dimension,UNRESOLVED,pTargetDim,pTargetDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDim,Sys_Dim_Create_Derived_Dim_FromAttribute,UPDATES_DIMENSION,dimension,UNRESOLVED,pDim,pDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDim,Sys_Dim_Create_Derived_Dim_FromAttributeList,UPDATES_DIMENSION,dimension,UNRESOLVED,pDim,pDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDim,Sys_Dim_Create_Derived_Dim_FromMDX,UPDATES_DIMENSION,dimension,UNRESOLVED,pDim,pDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDimension,Sys_Dim_Element_Delete.FromSubset,UPDATES_DIMENSION,dimension,UNRESOLVED,pDimension,pDimension,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDim,Sys_Dim_Hierarchy_Clone,UPDATES_DIMENSION,dimension,UNRESOLVED,pDim,pDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDimension,Sys_Dim_Hierarchy_Create_FromAttribute,UPDATES_DIMENSION,dimension,UNRESOLVED,pDimension,pDimension,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDimension,Sys_Dim_Hierarchy_Create_FromAttribute_v2,UPDATES_DIMENSION,dimension,UNRESOLVED,pDimension,pDimension,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDim,Sys_Dim_Hierarchy_Create_FromMDXSubset,UPDATES_DIMENSION,dimension,UNRESOLVED,pDim,pDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDim,Sys_Dim_Hierarchy_Create_FromMultipleLevelAttributes,UPDATES_DIMENSION,dimension,UNRESOLVED,pDim,pDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pdim,Sys_Dim_Hierarchy_Create_FromMultipleLevelAttributes,UPDATES_DIMENSION,dimension,UNRESOLVED,pdim,pdim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDim,Sys_Dim_Hierarchy_Create_Orphans,UPDATES_DIMENSION,dimension,UNRESOLVED,pDim,pDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDim,SYS_Dim_Hierarchy_CreateFromConsolidations,UPDATES_DIMENSION,dimension,UNRESOLVED,pDim,pDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDimension,Sys_Dim_Hierarchy_Unwind_All,UPDATES_DIMENSION,dimension,UNRESOLVED,pDimension,pDimension,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sAttrCube,Sys_Dim_Hierarchy_Unwind_Consolidation_Large,READS_FROM_CUBE,cube,UNRESOLVED,sAttrCube,sAttrCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDimension,Sys_Dim_Hierarchy_Unwind_Consolidation_Large,UPDATES_DIMENSION,dimension,UNRESOLVED,pDimension,pDimension,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sAttrCube,Sys_Dim_Hierarchy_Unwind_Consolidation_Large,WRITES_TO_CUBE,cube,UNRESOLVED,sAttrCube,sAttrCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sAttrCube,Sys_Dim_Import_From_File,CLEARS_CUBE,cube,UNRESOLVED,sAttrCube,sAttrCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDim,Sys_Dim_Import_From_File,UPDATES_DIMENSION,dimension,UNRESOLVED,pDim,pDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDimName,Sys_Dim_Sort_Import,UPDATES_DIMENSION,dimension,UNRESOLVED,pDimName,pDimName,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,CONCATENATION,'}ElementAttributes_' | pSrcDim,Sys_Generic_Alternate Dimension Hierarchies,READS_FROM_CUBE,cube,UNRESOLVED,'}ElementAttributes_' | pSrcDim,'}ElementAttributes_' | pSrcDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pTgtDim,Sys_Generic_Alternate Dimension Hierarchies,UPDATES_DIMENSION,dimension,UNRESOLVED,pTgtDim,pTgtDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,CONCATENATION,'}ElementAttributes_' | pTgtDim,Sys_Generic_Alternate Dimension Hierarchies,WRITES_TO_CUBE,cube,UNRESOLVED,'}ElementAttributes_' | pTgtDim,'}ElementAttributes_' | pTgtDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sTgtDim,Sys_Generic_Parent Child Dimension,UPDATES_DIMENSION,dimension,UNRESOLVED,sTgtDim,sTgtDim,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDimension,Sys_Legacy Element,UPDATES_DIMENSION,dimension,UNRESOLVED,pDimension,pDimension,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,sAttrCube,Sys_Virtual Dimension,READS_FROM_CUBE,cube,UNRESOLVED,sAttrCube,sAttrCube,The target could not be resolved to a dependable catalog name.
TI,UNRESOLVED_DYNAMIC_REFERENCE,SIMPLE_VARIABLE,pDimension,Sys_Virtual Dimension,UPDATES_HIERARCHY,hierarchy,UNRESOLVED,pDimension.sHierarchy,pDimension,The target could not be resolved to a dependable catalog name.
RULE,UNRESOLVED_DYNAMIC_REFERENCE,STRUCTURED_EXPRESSION,!}Dimensions,SYS Legacy Elements,REFERENCES_DIMENSION,DIMENSION,MEDIUM,,!}Dimensions,The target could not be resolved to a dependable catalog name.
